13:00,,,,,,,,Web Design,,Lógica,HSO,,,,,,HSO,Biologia,,Web Design,EVENTO,Lógica,Matemática,Biologia,,Web Design,,Lógica,HSO,Biologia,,Web Design,Fundamentos,Lógica,,Biologia,,Web Design,Fundamentos,Lógica,Fundamentos,Biologia,,Web Design,Fundamentos,Avaliação LÓG,Recuperação MAT,,,Web Design,Fundamentos,Lógica,,,,Web Design,Artes,Projetos/AA,HSO,Recuperação BIO,,Avaliação WEB,Artes,Projetos/AA,HSO,Biologia,,,,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,Recuperação HSO,,,,Artes,Projetos/AA,HSO,Avaliação BIO,,Web Design,Artes,Projetos/AA,HSO,Biologia,,,,,,,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Oficina I,Projetos/AA,,,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,,Web Design,Artes,Projetos/AA,HSO,Biologia,
13:45,,,,,,,,Web Design,,Lógica,HSO,Multimídia,,,,,HSO,Multimídia,,Web Design,Oficina I,Lógica,Matemática,Multimídia,,Web Design,Fundamentos,Lógica,HSO,Multimídia,,Web Design,Oficina I,Lógica,Fundamentos,Multimídia,,Web Design,Fundamentos,Lógica,Fundamentos,Multimídia,,Web Design,Fundamentos,Avaliação LÓG,Recuperação MAT,,,Web Design,Fundamentos,Lógica,,,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Avaliação WEB,Artes,Projetos/AA,HSO,Multimídia,,,,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,Recuperação HSO,,,,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,,,,,,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Oficina I,Projetos/AA,,,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,,Web Design,Artes,Projetos/AA,HSO,Multimídia,
14:30,,,,,,,,Oficina I,,Projetos/AA/Reuniões,Lógica,Multimídia,,,,Projetos/AA/Reuniões,Lógica,Multimídia,,,Oficina I,Projetos/AA/Reuniões,Convocação - Servidores,Multimídia,,,Fundamentos,ATIVIDADE,Lógica,Multimídia,,Fundamentos,Oficina I,Projetos/AA/Reuniões,Lógica,Multimídia,,,,Projetos/AA/Reuniões,Lógica,Multimídia,,,,Projetos/AA/Reuniões,Lógica,,,,Lógica,Projetos/AA/Reuniões,,,,Matemática,Matemática,Reunião,,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,,,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,,,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,,,,,,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Artes,Reunião,,,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,,Oficina I,Oficina I,Reunião,Lógica,Multimídia,
15:15 - 15:30,,,,,,,,INTERVALO,,,,,,,,,INTERVALO,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,,,INTERVALO,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,,INTERVALO,,,,,
15:30,,,,,,,,Oficina I,Inglês,Projetos/AA/Reuniões,Lógica,HSO,,,,Projetos/AA/Reuniões,Lógica,,,Matemática,Inglês,Projetos/AA/Reuniões,Convocação - Servidores,Química,,Fundamentos,Inglês,ATIVIDADE,Lógica,Lógica,,Fundamentos,Inglês,Projetos/AA/Reuniões,Lógica,,,Fundamentos,Inglês,Projetos/AA/Reuniões,Lógica,HSO,,Fundamentos,Inglês,Projetos/AA/Reuniões,Lógica,,,Fundamentos,Inglês,Projetos/AA/Reuniões,,,,Fundamentos,Avaliação ING,Reunião,Recuperação LÓG,Lógica,,Fundamentos,,Reunião,Lógica,Lógica,,,,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Avaliação LÓG,,,Matemática,Avaliação ING,Reunião,Lógica,Recuperação LÓG,,Biologia,Recuperação ING,Reunião,Lógica,Lógica,,,,,,,,Matemática,Inglês,Reunião,Lógica,Lógica,,Matemática,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,,,,Fundamentos,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Lógica,Lógica,,Fundamentos,Inglês,Reunião,Lógica,Lógica,
16:15,,,,,,,,,Inglês,Projetos/AA/Reuniões,EVENTO,HSO,,,,Projetos/AA/Reuniões,Química,,,Matemática,Inglês,Projetos/AA/Reuniões,Convocação - Servidores,Química,,Fundamentos,Inglês,ATIVIDADE,Atividade da CGE,Lógica,,Fundamentos,Inglês,Projetos/AA/Reuniões,Fundamentos,,,Fundamentos,Inglês,Projetos/AA/Reuniões,,HSO,,Fundamentos,Inglês,Projetos/AA/Reuniões,Atividade da CGE,,,Fundamentos,Inglês,Projetos/AA/Reuniões,,,,Fundamentos,Avaliação ING,Reunião,Recuperação LÓG,Lógica,,Fundamentos,,Reunião,,Lógica,,,,Reunião,Atividade da CGE,Lógica,,Fundamentos,Inglês,Reunião,Avaliação LÓG,,,Oficina I,Avaliação ING,Reunião,Matemática,Recuperação LÓG,,Recuperação BIO,Recuperação ING,Reunião,Química,Lógica,,,,,,,,Matemática,Inglês,Reunião,,Lógica,,Matemática,Inglês,Reunião,Geografia,Lógica,,Fundamentos,Inglês,Reunião,,,,Fundamentos,Inglês,Reunião,Química,Lógica,,Fundamentos,Inglês,Reunião,Química,Lógica,,Fundamentos,Inglês,Reunião,Geografia,Lógica,,Fundamentos,Inglês,Reunião,Geografia,Lógica,,Fundamentos,Inglês,Reunião,Geografia,Lógica,,Fundamentos,Inglês,Reunião,Geografia,Lógica,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCIPLINAS / PROFESSORES,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,,Disciplina ,,Docente,,,Aulas Marcadas
,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Débora Costa Pires,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,,Artes,,Profª Mariana Lopes Junqueira,,,38
